stage,tick,episode,x,z,base_action_0,requested_delta_0,effective_delta_0,action_0,base_action_1,requested_delta_1,effective_delta_1,action_1,base_action_2,requested_delta_2,effective_delta_2,action_2,base_action_3,requested_delta_3,effective_delta_3,action_3
initial,23,1,3.2908594608306885,0.5060691833496094,0.7403473854064941,0.0,0.0,0.7403473854064941,-0.8260124325752258,0.0,0.0,-0.8260124325752258,0.7496365904808044,0.0,0.0,0.7496365904808044,-0.634300172328949,0.0,0.0,-0.634300172328949
initial,24,0,3.323716402053833,0.5156064629554749,0.7705994844436646,0.0,0.0,0.7705994844436646,-0.7695286273956299,0.0,0.0,-0.7695286273956299,0.7779518961906433,0.0,0.0,0.7779518961906433,-0.6221711039543152,0.0,0.0,-0.6221711039543152
initial,24,1,3.327232599258423,0.5123721361160278,0.7360606789588928,0.0,0.0,0.7360606789588928,-0.807119607925415,0.0,0.0,-0.807119607925415,0.7539864778518677,0.0,0.0,0.7539864778518677,-0.6226909756660461,0.0,0.0,-0.6226909756660461
initial,25,0,3.3619751930236816,0.5252557396888733,0.7936128973960876,0.0,0.0,0.7936128973960876,-0.7740550637245178,0.0,0.0,-0.7740550637245178,0.7552427649497986,0.0,0.0,0.7552427649497986,-0.5895354151725769,0.0,0.0,-0.5895354151725769
initial,25,1,3.3653197288513184,0.5196654796600342,0.7130547761917114,0.0,0.0,0.7130547761917114,-0.7634842991828918,0.0,0.0,-0.7634842991828918,0.7096557021141052,0.0,0.0,0.7096557021141052,-0.5608714818954468,0.0,0.0,-0.5608714818954468
initial,26,0,3.400512456893921,0.5342355370521545,0.7971564531326294,0.0,0.0,0.7971564531326294,-0.7807697653770447,0.0,0.0,-0.7807697653770447,0.7494847774505615,0.0,0.0,0.7494847774505615,-0.5739387273788452,0.0,0.0,-0.5739387273788452
initial,26,1,3.4030117988586426,0.5252874493598938,0.4240180253982544,0.0,0.0,0.4240180253982544,-0.56956547498703,0.0,0.0,-0.56956547498703,0.6372522711753845,0.0,0.0,0.6372522711753845,-0.5596057772636414,0.0,0.0,-0.5596057772636414
initial,27,0,3.4390156269073486,0.5427666306495667,0.807927131652832,0.0,0.0,0.807927131652832,-0.7577571868896484,0.0,0.0,-0.7577571868896484,0.7273274064064026,0.0,0.0,0.7273274064064026,-0.5562049150466919,0.0,0.0,-0.5562049150466919
initial,27,1,3.4405767917633057,0.5291110873222351,0.6181327700614929,0.0,0.0,0.6181327700614929,-0.5899871587753296,0.0,0.0,-0.5899871587753296,0.6108846664428711,0.0,0.0,0.6108846664428711,-0.5306212902069092,0.0,0.0,-0.5306212902069092
initial,28,0,3.477421283721924,0.5507141351699829,0.7994641065597534,0.0,0.0,0.7994641065597534,-0.7373281717300415,0.0,0.0,-0.7373281717300415,0.699171781539917,0.0,0.0,0.699171781539917,-0.5369459390640259,0.0,0.0,-0.5369459390640259
initial,28,1,3.4789514541625977,0.5294966101646423,0.7114505171775818,0.0,0.0,0.7114505171775818,-0.6955476999282837,0.0,0.0,-0.6955476999282837,0.6551951169967651,0.0,0.0,0.6551951169967651,-0.5100514888763428,0.0,0.0,-0.5100514888763428
initial,29,0,3.5153470039367676,0.5569590330123901,0.7928932309150696,0.0,0.0,0.7928932309150696,-0.7390624284744263,0.0,0.0,-0.7390624284744263,0.683750331401825,0.0,0.0,0.683750331401825,-0.5334364771842957,0.0,0.0,-0.5334364771842957
initial,29,1,3.519137144088745,0.5289861559867859,0.620252251625061,0.0,0.0,0.620252251625061,-0.589871883392334,0.0,0.0,-0.589871883392334,0.6482539176940918,0.0,0.0,0.6482539176940918,-0.41795411705970764,0.0,0.0,-0.41795411705970764
initial,30,0,3.5528783798217773,0.5619299411773682,0.7828450798988342,0.0,0.0,0.7828450798988342,-0.6797049045562744,0.0,0.0,-0.6797049045562744,0.6428281664848328,0.0,0.0,0.6428281664848328,-0.5162243247032166,0.0,0.0,-0.5162243247032166
initial,30,1,3.557358741760254,0.5248860716819763,0.7069519758224487,0.0,0.0,0.7069519758224487,-0.6526733040809631,0.0,0.0,-0.6526733040809631,0.5463601350784302,0.0,0.0,0.5463601350784302,-0.46084269881248474,0.0,0.0,-0.46084269881248474
