candidate_index,phase,full_cost,first_success_cost,label,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6
196,upstream,220,30,1,success,untested,untested,untested,untested,untested,untested
197,upstream,213,27,1,success,untested,untested,untested,untested,untested,untested
198,upstream,209,27,1,success,untested,untested,untested,untested,untested,untested
199,upstream,201,26,1,success,untested,untested,untested,untested,untested,untested
200,upstream,184,24,1,success,untested,untested,untested,untested,untested,untested
201,upstream,178,25,1,success,untested,untested,untested,untested,untested,untested
202,upstream,169,22,1,success,untested,untested,untested,untested,untested,untested
203,upstream,152,21,1,success,untested,untested,untested,untested,untested,untested
204,upstream,149,20,1,success,untested,untested,untested,untested,untested,untested
205,upstream,144,19,1,success,untested,untested,untested,untested,untested,untested
206,upstream,134,17,1,success,untested,untested,untested,untested,untested,untested
207,upstream,117,16,1,success,untested,untested,untested,untested,untested,untested
208,upstream,113,16,1,success,untested,untested,untested,untested,untested,untested
209,upstream,110,16,1,success,untested,untested,untested,untested,untested,untested
210,upstream,92,14,1,success,untested,untested,untested,untested,untested,untested
211,upstream,88,12,1,success,untested,untested,untested,untested,untested,untested
212,upstream,81,11,1,success,untested,untested,untested,untested,untested,untested
213,upstream,67,9,1,success,untested,untested,untested,untested,untested,untested
214,upstream,59,8,1,success,untested,untested,untested,untested,untested,untested
215,downstream,52,7,1,success,untested,untested,untested,untested,untested,untested
216,downstream,46,6,1,success,untested,untested,untested,untested,untested,untested
217,downstream,39,5,1,success,untested,untested,untested,untested,untested,untested
218,downstream,32,4,1,success,untested,untested,untested,untested,untested,untested
219,downstream,24,3,1,success,untested,untested,untested,untested,untested,untested
220,downstream,17,2,1,success,untested,untested,untested,untested,untested,untested
221,upstream,264,36,1,success,untested,untested,untested,untested,untested,untested
222,upstream,248,32,1,success,untested,untested,untested,untested,untested,untested
223,upstream,275,90,1,failure,success,untested,untested,untested,untested,untested
224,upstream,199,29,1,success,untested,untested,untested,untested,untested,untested
225,upstream,186,26,1,success,untested,untested,untested,untested,untested,untested
226,upstream,215,24,1,success,untested,untested,untested,untested,untested,untested
227,upstream,168,25,1,success,untested,untested,untested,untested,untested,untested
228,upstream,159,23,1,success,untested,untested,untested,untested,untested,untested
229,upstream,149,21,1,success,untested,untested,untested,untested,untested,untested
230,upstream,143,19,1,success,untested,untested,untested,untested,untested,untested
231,upstream,138,18,1,success,untested,untested,untested,untested,untested,untested
232,upstream,124,17,1,success,untested,untested,untested,untested,untested,untested
233,upstream,111,16,1,success,untested,untested,untested,untested,untested,untested
234,upstream,103,15,1,success,untested,untested,untested,untested,untested,untested
